imageNumber,productName,weightGrams,heightInches,sourceFilename,outputFilename
1,Bal Krishna / Laddu Gopal,50,3,WhatsApp Image 2026-07-30 at 5.26.01 PM.jpeg,silver-idol-bal-krishna-laddu-gopal-50g-3in-branded-template.png
2,Kneeling Deity,60,4,WhatsApp Image 2026-07-30 at 5.27.43 PM.jpeg,idol-02-kneeling-deity-60g-4in.png
3,Ganesha with Arch,20,2.5,WhatsApp Image 2026-07-30 at 5.29.18 PM.jpeg,idol-03-ganesha-arch-20g-2-5in.png
4,Four-arm Ganesha,20,2,WhatsApp Image 2026-07-30 at 5.30.47 PM.jpeg,idol-04-ganesha-four-arm-20g-2in.png
5,Khatu Shyam,15,2,WhatsApp Image 2026-07-30 at 5.32.04 PM.jpeg,idol-05-khatu-shyam-15g-2in.png
6,Ganesha with Yellow Dhoti,28,2.5,WhatsApp Image 2026-07-30 at 5.33.56 PM.jpeg,idol-06-ganesha-yellow-dhoti-28g-2-5in.png
7,Colored Bal Krishna,20,3,WhatsApp Image 2026-07-30 at 5.35.23 PM.jpeg,idol-07-bal-krishna-colored-20g-3in.png
8,Colored Crawling Bal Krishna,15,2,WhatsApp Image 2026-07-30 at 5.37.18 PM.jpeg,idol-08-bal-krishna-crawling-colored-15g-2in.png
9,Kuber on Throne,6,1.5,WhatsApp Image 2026-07-30 at 5.39.20 PM.jpeg,idol-09-kuber-on-throne-6g-1-5in.png
10,Meditating Shiva,15,2,WhatsApp Image 2026-07-30 at 5.40.42 PM.jpeg,idol-10-shiva-meditating-15g-2in.png
11,Colored Meditating Shiva,15,2,WhatsApp Image 2026-07-30 at 5.41.56 PM.jpeg,idol-11-shiva-meditating-colored-15g-2in.png
12,Shiva Family,20,2.5,WhatsApp Image 2026-07-30 at 5.43.12 PM.jpeg,idol-12-shiva-family-20g-2-5in.png
13,Panchmukhi Hanuman,50,3.5,WhatsApp Image 2026-07-30 at 5.44.21 PM.jpeg,idol-13-panchmukhi-hanuman-50g-3-5in.png
14,Sai Baba,15,2.5,WhatsApp Image 2026-07-30 at 5.45.20 PM.jpeg,idol-14-sai-baba-15g-2-5in.png
15,Colored Panchmukhi Hanuman,50,3.5,WhatsApp Image 2026-07-30 at 5.46.10 PM.jpeg,idol-15-panchmukhi-hanuman-colored-50g-3-5in.png
16,Lakshmi Narayan on Sheshnag,20,3,WhatsApp Image 2026-07-30 at 5.47.45 PM.jpeg,idol-16-lakshmi-narayan-sheshnag-20g-3in.png
17,Saraswati with Veena,6,1.5,WhatsApp Image 2026-07-30 at 5.48.57 PM.jpeg,idol-17-saraswati-veena-6g-1-5in.png
18,Crawling Bal Krishna,5,2,WhatsApp Image 2026-07-30 at 5.50.14 PM.jpeg,idol-18-bal-krishna-crawling-5g-2in.png
19,Seated Kuber,15,2,WhatsApp Image 2026-07-30 at 5.51.28 PM.jpeg,idol-19-seated-kuber-15g-2in.png
