"source_filename","output_filename","item_title","weight_grams","height_inches","measurement_source","ocr_confidence","ready_for_upload","review_reasons"
"WhatsApp Image 2026-08-02 at 4.06.46 PM.jpeg","idol-145-painted-gold-fin-fish-silver-figurine.png","Painted Gold-Fin Fish Silver Figurine","10","1.5","catalog","","true",""
"WhatsApp Image 2026-08-02 at 4.08.10 PM.jpeg","idol-146-miniature-fish-silver-figurine-pair.png","Miniature Fish Silver Figurine Pair","5","1","catalog","","true",""
"WhatsApp Image 2026-08-02 at 4.09.42 PM.jpeg","idol-147-painted-turtle-silver-figurine-pair.png","Painted Turtle Silver Figurine Pair","15","1","catalog","","true",""
"WhatsApp Image 2026-08-02 at 4.17.08 PM.jpeg","idol-148-painted-tulsi-pedestal-silver-idol.png","Painted Tulsi Pedestal Silver Idol","15","2.5","catalog","","true",""
"WhatsApp Image 2026-08-02 at 4.18.16 PM.jpeg","idol-149-rama-silver-idol-ornate-arch.png","Rama Silver Idol Beneath Ornate Arch","25","3","catalog","","true",""
"WhatsApp Image 2026-08-02 at 4.19.51 PM.jpeg","idol-150-compact-rama-silver-idol-bow.png","Compact Rama Silver Idol with Bow","10","2.5","catalog","","true",""
"WhatsApp Image 2026-08-02 at 4.21.10 PM.jpeg","idol-151-painted-compact-rama-silver-idol-bow.png","Painted Compact Rama Silver Idol with Bow","10","2.5","catalog","","true",""
"WhatsApp Image 2026-08-02 at 4.22.25 PM.jpeg","idol-152-lakshmi-narayan-silver-idol-pair-lotus-bases.png","Lakshmi Narayan Silver Idol Pair on Lotus Bases","105","5","catalog","","true",""
"WhatsApp Image 2026-08-02 at 4.23.19 PM.jpeg","idol-153-lakshmi-ganesha-silver-idol-pair-lotus-seats.png","Lakshmi Ganesha Silver Idol Pair on Lotus Seats","40","2.5","catalog","","true",""
"WhatsApp Image 2026-08-04 at 3.36.36 PM.jpeg","idol-154-painted-durga-silver-idol-lion-arched-halo.png","Painted Durga Silver Idol on Lion with Arched Halo","80","5.5","catalog","","true",""
"WhatsApp Image 2026-08-04 at 3.38.04 PM.jpeg","idol-155-durga-silver-idol-lion-arched-halo.png","Durga Silver Idol on Lion with Arched Halo","80","5.5","catalog","","true",""
"WhatsApp Image 2026-08-04 at 3.39.13 PM.jpeg","idol-156-painted-makhan-chor-bal-krishna-oval-base.png","Painted Makhan Chor Bal Krishna Silver Idol on Oval Base","35","3","catalog","","true",""
"WhatsApp Image 2026-08-04 at 3.40.29 PM.jpeg","idol-157-makhan-chor-bal-krishna-oval-base.png","Makhan Chor Bal Krishna Silver Idol on Oval Base","35","3","catalog","","true",""
"WhatsApp Image 2026-08-04 at 3.42.02 PM.jpeg","idol-158-painted-seated-bal-krishna-butter-pot.png","Painted Seated Bal Krishna Silver Idol with Butter Pot","20","3","catalog","","true",""
"WhatsApp Image 2026-08-04 at 3.42.41 PM.jpeg","idol-159-seated-bal-krishna-butter-pot.png","Seated Bal Krishna Silver Idol with Butter Pot","20","3","catalog","","true",""
"WhatsApp Image 2026-08-04 at 3.45.54 PM.jpeg","idol-160-painted-crawling-bal-krishna-laddoo-large.png","Painted Crawling Bal Krishna Silver Idol with Laddoo","40","4","catalog","","true",""
"WhatsApp Image 2026-08-04 at 3.46.15 PM.jpeg","idol-161-satin-crawling-bal-krishna-laddoo-large.png","Satin Crawling Bal Krishna Silver Idol with Laddoo","40","4","catalog","","true",""
"WhatsApp Image 2026-08-04 at 3.49.43 PM.jpeg","idol-162-dark-accent-crawling-bal-krishna-laddoo.png","Dark-Accent Crawling Bal Krishna Silver Idol with Laddoo","50","3","catalog","","true",""
"WhatsApp Image 2026-08-04 at 3.52.37 PM.jpeg","idol-163-miniature-gold-accent-crawling-bal-krishna.png","Miniature Gold-Accent Crawling Bal Krishna Silver Idol","15","2.5","catalog","","true",""
"WhatsApp Image 2026-08-04 at 3.54.36 PM.jpeg","idol-164-kneeling-bal-krishna-laddoo.png","Kneeling Bal Krishna Silver Idol with Laddoo","30","3","catalog","","true",""
"WhatsApp Image 2026-08-04 at 3.55.08 PM.jpeg","idol-165-painted-kneeling-bal-krishna-yellow-dhoti.png","Painted Kneeling Bal Krishna Silver Idol in Yellow Dhoti","30","3","catalog","","true",""
"WhatsApp Image 2026-08-04 at 3.58.49 PM.jpeg","idol-166-gold-accent-rama-sita-silver-idol-pair.png","Gold-Accent Rama Sita Silver Idol Pair","80","4","catalog","","true",""
"WhatsApp Image 2026-08-04 at 4.01.16 PM.jpeg","idol-167-gold-accent-rama-silver-idol-tall-arch.png","Gold-Accent Rama Silver Idol Beneath Tall Arch","90","6","catalog","","true",""
"WhatsApp Image 2026-08-04 at 4.02.58 PM.jpeg","idol-168-painted-rama-silver-idol-tall-arch.png","Painted Rama Silver Idol Beneath Tall Arch","80","6","catalog","","true",""
"WhatsApp Image 2026-08-04 at 4.03.22 PM.jpeg","idol-169-rama-silver-idol-tall-arch.png","Rama Silver Idol Beneath Tall Arch","80","6","catalog","","true",""
"WhatsApp Image 2026-08-04 at 4.04.56 PM.jpeg","idol-170-mahavir-silver-idol-arched-shrine.png","Mahavir Silver Idol Seated in Arched Shrine","40","3.5","catalog","","true",""
"WhatsApp Image 2026-08-04 at 4.07.10 PM.jpeg","idol-171-seated-buddha-silver-idol-lotus-pedestal.png","Seated Buddha Silver Idol on Lotus Pedestal","60","3.5","catalog","","true",""
"WhatsApp Image 2026-08-04 at 4.14.01 PM.jpeg","idol-172-gold-accent-shivling-silver-idol-tripundra.png","Gold-Accent Shivling Silver Idol with Tripundra","20","2.5","catalog","","true",""
