"source_filename","output_filename","item_title","weight_grams","height_inches","measurement_source","ocr_confidence","ready_for_upload","review_reasons"
"WhatsApp Image 2026-07-31 at 4.06.59 PM.jpeg","idol-65-lakshmi-ganesha-silver-idol-pair-round-pedestals.png","Lakshmi Ganesha Silver Idol Pair on Round Pedestals","100","3.5","catalog","92","true",""
"WhatsApp Image 2026-07-31 at 4.09.39 PM.jpeg","idol-66-lakshmi-ganesha-silver-idol-pair-lotus-bases-40g.png","Lakshmi Ganesha Silver Idol Pair on Lotus Bases","40","3","catalog","90","true",""
"WhatsApp Image 2026-07-31 at 4.13.40 PM.jpeg","idol-67-painted-lakshmi-ganesha-silver-idol-pair-lotus-bases-40g.png","Painted Lakshmi Ganesha Silver Idol Pair on Lotus Bases","40","3","catalog","95","true",""
"WhatsApp Image 2026-07-31 at 4.16.10 PM.jpeg","idol-68-lakshmi-ganesha-silver-idol-pair-floral-arches.png","Lakshmi Ganesha Silver Idol Pair with Floral Arches","12","1.5","catalog","95","true",""
"WhatsApp Image 2026-07-31 at 4.18.06 PM.jpeg","idol-69-painted-lakshmi-ganesha-silver-idol-pair-miniature-thrones-15g.png","Painted Lakshmi Ganesha Silver Idol Pair on Miniature Thrones","15","1.5","catalog","68","true",""
"WhatsApp Image 2026-07-31 at 4.19.35 PM.jpeg","idol-70-lakshmi-ganesha-silver-idol-pair-compact-lotus-bases.png","Lakshmi Ganesha Silver Idol Pair on Compact Lotus Bases","15","2","catalog","95","true",""
"WhatsApp Image 2026-07-31 at 4.21.53 PM.jpeg","idol-71-painted-miniature-lakshmi-ganesha-silver-idol-pair.png","Painted Miniature Lakshmi Ganesha Silver Idol Pair","5","1","catalog","95","true",""
"WhatsApp Image 2026-07-31 at 4.24.29 PM.jpeg","idol-72-lakshmi-ganesha-silver-idol-pair-beaded-halos.png","Lakshmi Ganesha Silver Idol Pair with Beaded Halos","12","1.5","catalog","91","true",""
"WhatsApp Image 2026-07-31 at 4.25.58 PM.jpeg","idol-73-painted-lakshmi-ganesha-silver-idol-pair-yellow-20g.png","Painted Lakshmi Ganesha Silver Idol Pair in Yellow","20","2","catalog","78","true",""
"WhatsApp Image 2026-07-31 at 4.27.46 PM.jpeg","idol-74-painted-lakshmi-ganesha-silver-idol-pair-red-35g.png","Painted Lakshmi Ganesha Silver Idol Pair in Red","35","2.5","catalog","92","true",""
"WhatsApp Image 2026-07-31 at 4.28.56 PM.jpeg","idol-75-painted-lakshmi-ganesha-silver-idol-pair-orange-35g.png","Painted Lakshmi Ganesha Silver Idol Pair in Orange","35","2.5","catalog","86","true",""
"WhatsApp Image 2026-07-31 at 4.30.23 PM.jpeg","idol-76-painted-lakshmi-ganesha-silver-idol-pair-golden-yellow.png","Painted Lakshmi Ganesha Silver Idol Pair in Golden Yellow","47","2.5","catalog","64","true",""
"WhatsApp Image 2026-07-31 at 4.32.02 PM.jpeg","idol-77-lakshmi-ganesha-silver-idol-pair-painted-garlands-55g.png","Lakshmi Ganesha Silver Idol Pair with Painted Garlands","55","3","catalog","76","true",""
